and,"[[4, 1], [5, 1], [26, 1], [30, 1], [37, 1], [48, 1], [51, 1], [65, 1], [79, 1], [90, 1], [91, 1], [101, 1], [102, 1], [106, 1], [114, 1], [129, 1], [134, 1], [146, 1], [162, 1], [166, 1], [171, 1], [172, 1], [183, 1], [199, 1], [200, 1], [203, 1], [206, 1], [212, 1], [215, 1], [216, 1], [220, 1], [221, 1], [222, 1], [236, 1], [247, 1], [250, 1], [261, 1], [264, 1], [274, 1], [284, 1], [292, 1], [306, 1], [307, 1], [312, 1], [315, 1], [321, 1], [328, 1], [345, 1], [352, 1], [354, 1], [371, 1], [373, 1], [374, 1], [380, 1], [383, 1], [386, 1], [392, 1], [406, 1], [419, 1], [421, 1], [423, 1], [440, 1]]"
simpli,"[[61, 1], [244, 1], [328, 1], [430, 1]]"
wall,"[[299, 1], [373, 1]]"
pseudocount,"[[39, 1], [105, 1], [142, 1], [197, 1], [226, 1], [228, 1], [233, 1], [276, 1], [422, 1]]"
constant,"[[38, 1], [39, 1], [61, 1], [321, 1], [383, 1]]"
zeta,"[[178, 1]]"
assum,"[[19, 1], [127, 1], [137, 1], [361, 1], [389, 1], [434, 1]]"
quit,"[[406, 1]]"
becom,"[[162, 1]]"
invers,"[[182, 1]]"
mark,"[[84, 1]]"
much,"[[323, 1]]"
interest,"[[21, 1], [212, 1], [227, 1]]"
basic,"[[258, 2], [281, 1]]"
life,"[[158, 1]]"
N,"[[31, 1]]"
understand,"[[28, 2], [193, 1], [232, 1], [250, 1], [261, 1], [378, 1]]"
togeth,"[[3, 1], [101, 1]]"
repres,"[[15, 1], [90, 1], [150, 1], [161, 1], [203, 1], [233, 1], [301, 1], [318, 1], [350, 1], [356, 1], [374, 1], [434, 1]]"
those,"[[121, 1]]"
case,"[[6, 1], [21, 1], [36, 1], [52, 1], [55, 1], [181, 1], [229, 1], [275, 1], [279, 1], [296, 1], [312, 2], [313, 1], [336, 1], [376, 1], [403, 1], [408, 1]]"
main,"[[238, 1]]"
look,"[[25, 1], [146, 1], [171, 1], [258, 1], [382, 1]]"
these,"[[186, 1], [384, 1]]"
n,"[[282, 1]]"
defin,"[[43, 1], [321, 1]]"
observ,"[[33, 1], [40, 1], [48, 1], [134, 1], [213, 1], [214, 1], [262, 1], [278, 1], [282, 1], [286, 1], [291, 1], [308, 1], [314, 1], [361, 1], [409, 1], [436, 1]]"
cluster,"[[7, 1], [66, 1], [110, 1], [135, 1], [188, 1], [198, 1], [199, 1], [238, 1], [239, 1], [270, 1], [288, 1], [319, 1], [342, 1], [372, 1], [389, 1], [420, 1], [423, 1], [426, 1]]"
sever,"[[26, 1], [146, 1]]"
scienc,"[[164, 1]]"
irrelev,"[[107, 1]]"
receiv,"[[105, 1]]"
make,"[[46, 1], [131, 1], [179, 1], [266, 1], [269, 1], [299, 1], [328, 1], [329, 1], [331, 1], [346, 1], [354, 1], [362, 1], [376, 1], [388, 1], [415, 1], [424, 1]]"
medic,"[[164, 1]]"
